('empresa', 0.37417254769507635)
('empresas', 0.15191580941427113)
('sa', 0.09545427221785648)
('empresario', 0.03606916904497594)
('presario', 0.03075535474111689)
('empresarial', 0.03035263192891019)
('empresarios', 0.027513884747418033)
('sistemas', 0.014917630196275598)
('sar', 0.014199537065067606)
('considera', 0.012741897529087557)
('acciones', 0.012227938247950675)
('temas', 0.01160666233248547)
('lujos', 0.011327916253385188)
('auditoría', 0.011210029840400138)
('dólar', 0.011023818145763533)
('quebraron', 0.010788023619499218)
('pequeña', 0.00943870177844073)
('media', 0.009363415930506016)
('quebrar', 0.008776169782862334)
('cerraron', 0.008067154677654096)
('cotizan', 0.008067154677654096)
('empresariales', 0.008067154677654096)
('innecesarios', 0.008067154677654096)
('invertir', 0.008067154677654096)
('ostentación', 0.008067154677654096)
('prepotencia', 0.008067154677654096)
('pueda', 0.008026877269839593)
('m', 0.007879597304089847)
('pequeñas', 0.007541393017055857)
('perder', 0.007541393017055857)
('co', 0.007429570232457014)
('vi', 0.007188650523258006)
('práctica', 0.007082661271605611)
('vive', 0.007082661271605611)
('tomar', 0.006709479027196023)
('pa', 0.006577392971630942)
('deuda', 0.006459524284031451)
('año', 0.006307038891185619)
('balanza', 0.006292224452088253)
('estratégica', 0.006292224452088253)
('innecesario', 0.006292224452088253)
('dólares', 0.006130685827164039)
('ica', 0.006045276143619389)
('sistema', 0.0059457385450367405)
('tecnología', 0.005832676634640667)
('consideradas', 0.005380595823970343)
('emitido', 0.005380595823970343)
('fantasmas', 0.005380595823970343)
('farmacias', 0.005380595823970343)
('instrumentado', 0.005380595823970343)
